# ['Data file recorded 2013/1/14  7:59:53']
# ['%  keyboard_telem with hall effect ']
# ['%  motorgains    = [300, 0, 300, 0, 50, 300, 0, 300, 0, 50]\r\n%  delta         = [16384', ' 16384', ' 16384', ' 16384]"']
# ['%  intervals     = [128, 128, 128, 128]']
# ['% Columns: ']
# ['% time | Rlegs | Llegs | DCR | DCL | GyroX | GryoY | GryoZ | GryoZAvg | AX | AY | AZ | RBEMF | LBEMF ']
0   6.16   6.35 1362 1213 0 0 0 0 0 0 0 0 0  
3   6.16   6.36 1343 1194 0 0 0 0 0 0 0 0 0  
6   6.16   6.36 1342 1212 0 0 0 0 0 0 0 0 0  
10   6.16   6.36 1362 1194 0 0 0 0 0 0 0 0 0  
13   6.16   6.35 1362 1195 0 0 0 0 0 0 0 0 0  
16   6.16   6.36 1343 1193 0 0 0 0 0 0 0 0 0  
20   6.16   6.36 1343 1194 0 0 0 0 0 0 0 0 0  
23   6.16   6.35 1361 1195 0 0 0 0 0 0 0 0 0  
26   6.16   6.36 1362 1194 0 0 0 0 0 0 0 0 0  
30   6.16   6.35 1343 1213 0 0 0 0 0 0 0 0 0  
33   6.16   6.35 1362 1214 0 0 0 0 0 0 0 0 0  
36   6.16   6.35 1361 1214 0 0 0 0 0 0 0 0 0  
40   6.16   6.36 1361 1194 0 0 0 0 0 0 0 0 0  
43   6.16   6.35 1343 1214 0 0 0 0 0 0 0 0 0  
46   6.16   6.36 1362 1193 0 0 0 0 0 0 0 0 0  
50   6.16   6.35 1361 1214 0 0 0 0 0 0 0 0 0  
53   6.16   6.35 1343 1213 0 0 0 0 0 0 0 0 0  
56   6.16   6.36 1343 1194 0 0 0 0 0 0 0 0 0  
60   6.16   6.35 1362 1213 0 0 0 0 0 0 0 0 0  
63   6.16   6.36 1343 1194 0 0 0 0 0 0 0 0 0  
66   6.16   6.36 1362 1194 0 0 0 0 0 0 0 0 0  
70   6.16   6.36 1362 1212 0 0 0 0 0 0 0 0 0  
73   6.16   6.35 1362 1195 0 0 0 0 0 0 0 0 0  
76   6.16   6.35 1362 1213 0 0 0 0 0 0 0 0 0  
80   6.16   6.35 1362 1213 0 0 0 0 0 0 0 0 0  
83   6.16   6.35 1362 1195 0 0 0 0 0 0 0 0 0  
86   6.16   6.36 1343 1212 0 0 0 0 0 0 0 0 0  
90   6.16   6.35 1344 1213 0 0 0 0 0 0 0 0 0  
93   6.16   6.35 1343 1195 0 0 0 0 0 0 0 0 0  
96   6.16   6.35 1343 1214 0 0 0 0 0 0 0 0 0  
100   6.16   6.35 1343 1214 -1 -1 -1 0 -1 -1 -1 0 0  
103   6.16   6.36 1343 1193 -1 -1 -1 0 -1 -1 -1 0 0  
106   6.16   6.36 1362 1194 -1 -1 -1 0 -1 -1 -1 0 0  
110   6.16   6.36 1362 1213 -1 -1 -1 0 -1 -1 -1 0 0  
113   6.16   6.35 1342 1213 -1 -1 -1 0 -1 -1 -1 0 0  
116   6.16   6.36 1344 1194 -1 -1 -1 0 -1 -1 -1 0 0  
120   6.16   6.35 1343 1214 -1 -1 -1 0 -1 -1 -1 0 0  
123   6.16   6.36 1343 1194 -1 -1 -1 0 -1 -1 -1 0 0  
126   6.16   6.35 1362 1214 -1 -1 -1 0 -1 -1 -1 0 0  
130   6.16   6.35 1362 1195 -1 -1 -1 0 -1 -1 -1 0 0  
133   6.16   6.36 1344 1194 -1 -1 -1 0 -1 -1 -1 0 0  
136   6.16   6.36 1363 1213 -1 -1 -1 0 -1 -1 -1 0 0  
140   6.16   6.36 1343 1213 -1 -1 -1 0 -1 -1 -1 0 0  
143   6.16   6.36 1343 1213 -1 -1 -1 0 -1 -1 -1 0 0  
